Bobby Womack
O'Jays
Gladys Knight and The Pips
Cat Stevens
Helen Reddy
Chicago
Elton John
Ringo Starr
O'Jays
Eric Clapton
Paul McCartney and Wings
Elton John
Mike Oldfield
Anne Murray
Donny and Marie Osmond
Todd Rundgren
Tom T. Hall
Guess Who
Jim Croce
Sister Janet Mead
Lamont Dozier
Stevie Wonder
Charlie Rich
Jim Stafford
Diana Ross and Marvin Gaye
Paul McCartney and Wings
Jim Stafford
First Class
War
Stylistics
Olivia Newton-John
Chicago
Fancy
Spinners
Captain and Tennille
Glen Campbell
Elton John
Freddy Fender
Frankie Valli
"Earth, Wind and Fire"
David Bowie
Neil Sedaka
Eagles
John Denver
Bee Gees
Eagles
